No.,Name,Type,Zone,From,Dep,To,Arr,Duration,Halts,Distance,Avg Speed,Return,Classes,Sun,Mon,Tue,Wed,Thu,Fri,Sat
,Ajmer - Chandigarh Vande Bharat Express,VB,,,,,,,,,,,,N,N,N,N,N,N,N
20978,,VB,,,,,,,,,,,,N,N,N,N,N,N,N
20634,Thiruvananthapuram Central - Kasaragod Vande Bharat Express,VB,SR,VB,05:15,SR,13:20,8h 5m,,586 km,73 km/hr,20633,"CC, Ex",Y,Y,Y,Y,Y,Y,Y
,Thiruvananthapuram Central - Kasaragod Vande Bharat Express,VB,,,,,,,,,,,,N,N,N,N,N,N,N
22895,Howrah - Puri Vande Bharat Express,VB,SER,VB,06:10,SER,12:50,6h 40m,,500 km,75 km/hr,22896,"CC, Ex",Y,Y,Y,Y,Y,Y,Y
22895,,VB,,,,,,,,,,,,N,N,N,N,N,N,N
,Howrah - Puri Vande Bharat Express,VB,,,,,,,,,,,,N,N,N,N,N,N,N
22896,,VB,,,,,,,,,,,,N,N,N,N,N,N,N
22896,Puri - Howrah Vande Bharat Express,VB,SER,VB,13:50,SER,20:30,6h 40m,,500 km,75 km/hr,22895,"CC, Ex",Y,Y,Y,Y,Y,Y,Y
,Puri - Howrah Vande Bharat Express,VB,,,,,,,,,,,,N,N,N,N,N,N,N
22458,Dehradun - Anand Vihar Terminal Vande Bharat Express,VB,NR,VB,07:00,NR,11:45,4h 45m,,302 km,64 km/hr,22457,"CC, Ex",Y,Y,Y,Y,Y,Y,Y
22458,,VB,,,,,,,,,,,,N,N,N,N,N,N,N
,Dehradun - Anand Vihar Terminal Vande Bharat Express,VB,,,,,,,,,,,,N,N,N,N,N,N,N
22457,,VB,,,,,,,,,,,,N,N,N,N,N,N,N
22457,Anand Vihar Terminal - Dehradun Vande Bharat Express,VB,NR,VB,17:50,NR,22:35,4h 45m,,302 km,64 km/hr,22458,"CC, Ex",Y,Y,Y,Y,Y,Y,Y
,Anand Vihar Terminal - Dehradun Vande Bharat Express,VB,,,,,,,,,,,,N,N,N,N,N,N,N
22229,Mumbai CSMT - Madgaon Vande Bharat Express,VB,CR,CSMT,05:25,VB,16:00,10h 35m,,581 km,55 km/hr,22230,"CC, Ex",Y,Y,Y,Y,Y,Y,Y
22229,,VB,,,,,,,,,,,,N,N,N,N,N,N,N
,Mumbai CSMT - Madgaon Vande Bharat Express,VB,,,,,,,,,,,,N,N,N,N,N,N,N
22230,,VB,,,,,,,,,,,,N,N,N,N,N,N,N
22230,Madgaon - Mumbai CSMT Vande Bharat Express,VB,CR,CSMT,12:20,VB,22:30,10h 10m,,581 km,57 km/hr,22229,"CC, Ex",Y,Y,Y,Y,Y,Y,Y
,Madgaon - Mumbai CSMT Vande Bharat Express,VB,,,,,,,,,,,,N,N,N,N,N,N,N
22349,Patna - Ranchi Vande Bharat Express,VB,ECR,VB,07:00,ECR,13:05,6h 5m,,379 km,62 km/hr,22350,"CC, Ex",Y,Y,Y,Y,Y,Y,Y
22349,,VB,,,,,,,,,,,,N,N,N,N,N,N,N
,Patna - Ranchi Vande Bharat Express,VB,,,,,,,,,,,,N,N,N,N,N,N,N
22350,,VB,,,,,,,,,,,,N,N,N,N,N,N,N
22350,Ranchi - Patna Vande Bharat Express,VB,ECR,VB,16:15,ECR,22:10,5h 55m,,379 km,64 km/hr,22349,"CC, Ex",Y,Y,Y,Y,Y,Y,Y
,Ranchi - Patna Vande Bharat Express,VB,,,,,,,,,,,,N,N,N,N,N,N,N
20911,Indore - Nagpur Vande Bharat Express,VB,WR,VB,06:10,WR,14:35,8h 25m,,636 km,76 km/hr,20912,"CC, Ex",Y,Y,Y,Y,Y,Y,Y
20911,,VB,,,,,,,,,,,,N,N,N,N,N,N,N
,Indore - Nagpur Vande Bharat Express,VB,,,,,,,,,,,,N,N,N,N,N,N,N
20912,,VB,,,,,,,,,,,,N,N,N,N,N,N,N
20912,Nagpur - Indore Vande Bharat Express,VB,WR,VB,15:20,WR,23:50,8h 30m,,636 km,75 km/hr,20911,"CC, Ex",Y,Y,Y,Y,Y,Y,Y
,Nagpur - Indore Vande Bharat Express,VB,,,,,,,,,,,,N,N,N,N,N,N,N
20661,KSR Bengaluru - Dharwad Vande Bharat Express,VB,SWR,KSR,05:45,VB,12:10,6h 25m,,490 km,76 km/hr,20662,"CC, Ex",Y,Y,Y,Y,Y,Y,Y
20661,,VB,,,,,,,,,,,,N,N,N,N,N,N,N
,KSR Bengaluru - Dharwad Vande Bharat Express,VB,,,,,,,,,,,,N,N,N,N,N,N,N
20662,,VB,,,,,,,,,,,,N,N,N,N,N,N,N
20662,Dharwad - KSR Bengaluru Vande Bharat Express,VB,SWR,KSR,13:15,VB,19:45,6h 30m,,490 km,75 km/hr,20661,"CC, Ex",Y,Y,Y,Y,Y,Y,Y
,Dharwad - KSR Bengaluru Vande Bharat Express,VB,,,,,,,,,,,,N,N,N,N,N,N,N
20174,Rewa - Rani Kamalapati (Habibganj) Vande Bharat Express,VB,WCR,VB,05:20,WCR,13:30,8h 10m,,568 km,70 km/hr,20173,"CC, Ex",Y,Y,Y,Y,Y,Y,Y
20174,,VB,,,,,,,,,,,,N,N,N,N,N,N,N
,Rewa - Rani Kamalapati (Habibganj) Vande Bharat Express,VB,,,,,,,,,,,,N,N,N,N,N,N,N
20173,,VB,,,,,,,,,,,,N,N,N,N,N,N,N
20173,Rani Kamalapati (Habibganj) - Rewa Vande Bharat Express,VB,WCR,VB,15:30,WCR,23:35,8h 5m,,568 km,70 km/hr,20174,"CC, Ex",Y,Y,Y,Y,Y,Y,Y
,Rani Kamalapati (Habibganj) - Rewa Vande Bharat Express,VB,,,,,,,,,,,,N,N,N,N,N,N,N
12461,Jodhpur - Sabarmati BG Vande Bharat Express,VB,NWR,BG,06:05,VB,12:05,6h 0m,,451 km,75 km/hr,12462,"CC, Ex",Y,Y,Y,Y,Y,Y,Y
12461,,VB,,,,,,,,,,,,N,N,N,N,N,N,N
,Jodhpur - Sabarmati BG Vande Bharat Express,VB,,,,,,,,,,,,N,N,N,N,N,N,N
12462,,VB,,,,,,,,,,,,N,N,N,N,N,N,N
12462,Sabarmati BG - Jodhpur Vande Bharat Express,VB,NWR,BG,16:45,VB,22:50,6h 5m,,451 km,74 km/hr,12461,"CC, Ex",Y,Y,Y,Y,Y,Y,Y
,Sabarmati BG - Jodhpur Vande Bharat Express,VB,,,,,,,,,,,,N,N,N,N,N,N,N
